Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.664703,4.035061,4.081062,4.117179
1.665525,4.036709,4.082719,4.118841
1.665525,4.037533,4.083547,4.119672
1.665525,4.036709,4.082719,4.118841
1.664703,4.035061,4.081062,4.117179
1.665525,4.035061,4.081062,4.117179
1.665525,4.035061,4.081062,4.117179
1.664703,4.036709,4.083547,4.118841
1.664703,4.036709,4.083547,4.118841
1.665525,4.036709,4.082719,4.118841
1.665525,4.035061,4.081062,4.116348
1.665525,4.034237,4.081062,4.116348
1.665525,4.035061,4.081891,4.118010
1.664703,4.036709,4.082719,4.118841
1.664703,4.036709,4.082719,4.118841
1.664703,4.035061,4.081062,4.117179
1.665525,4.035061,4.080234,4.116348
1.665525,4.035061,4.081062,4.117179
1.664703,4.037533,4.082719,4.118010
1.664703,4.038357,4.083547,4.118841
1.665525,4.035885,4.081062,4.117179
1.665525,4.035061,4.080234,4.116348
1.664703,4.034237,4.081062,4.115517
1.664703,4.036709,4.082719,4.118010
1.664703,4.036709,4.083547,4.118010
1.663880,4.036709,4.082719,4.118010
1.666347,4.034237,4.081062,4.116348
1.664703,4.034237,4.081062,4.115517
1.664703,4.035061,4.081891,4.117179
1.664703,4.035885,4.083547,4.118841
1.664703,4.036709,4.082719,4.118841
1.665525,4.035061,4.080234,4.116348
1.665525,4.034237,4.080234,4.115517
1.664703,4.034237,4.081062,4.116348
1.664703,4.035885,4.082719,4.118010
1.664703,4.035885,4.083547,4.117179
1.665525,4.035061,4.081062,4.116348
1.664703,4.033412,4.081062,4.114686
1.666347,4.034237,4.081062,4.115517
1.664703,4.035061,4.081062,4.115517
1.664703,4.036709,4.082719,4.118010
1.664703,4.035885,4.081891,4.116348
1.665525,4.033412,4.080234,4.116348
1.665525,4.034237,4.080234,4.115517
1.665525,4.034237,4.081062,4.115517
1.664703,4.035885,4.083547,4.118010
1.664703,4.035885,4.082719,4.118010
1.664703,4.033412,4.080234,4.115517
1.665525,4.033412,4.080234,4.114686
1.664703,4.034237,4.081062,4.115517
1.664703,4.035885,4.082719,4.117179
1.663880,4.035885,4.081891,4.116348
1.664703,4.034237,4.080234,4.113855
1.664703,4.034237,4.079406,4.113855
1.664703,4.035885,4.081062,4.115517
1.664703,4.035885,4.082719,4.117179
1.665525,4.035061,4.081062,4.115517
1.665525,4.033412,4.080234,4.114686
1.665525,4.033412,4.079406,4.114686
1.665525,4.035885,4.081062,4.116348
1.664703,4.036709,4.082719,4.117179
1.665525,4.033412,4.079406,4.113855
